gid_B73	n_mu	mid	sids	fam	fam_size	fam_idx	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	P_Embryo	P_Endosperm	P_Internode	P_Leaf10	P_Root	P_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d013465	4	mu1048355|mu1059960|mu1077544|mu1079663	UFMu-06503|UFMu-07690|UFMu-09282|UFMu-08940,UFMu-12263	GRAS	81	17	Zm00004b011408	One-to-One	moderate	missense_variant	FALSE	5	1	acti	li2013	5.2	3.8	30.9	10.3	19.1	14.5	11.3	4.9	31.1	7.2	14.3	12.5	36.2	4.2	31.0	31.3	20.4	16.8	4.2
Zm00001d013497	1	mu1053258	UFMu-06959	C3H	55	16	Zm00004b011435	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		7.5	7.0	41.5	13.3	23.4	10.6	15.1	8.6	42.6	15.2	25.5	11.5	12.5	8.4	59.0	15.6	26.4	8.8	8.8
Zm00001d013547	7	mu1030121|mu1045310|mu1045310|mu1059980|mu1071176|mu1071176|mu1074358	UFMu-02884|UFMu-05881|UFMu-08145|UFMu-07752|UFMu-09139|UFMu-11264|UFMu-03818	TALE	28	4	Zm00004b011487	One-to-One	moderate	missense_variant	FALSE	20	0.8	acti	li2013	3.3	3.4	77.3	67.4	125.1	57.3	8.6	1.3	99.1	130.9	295.8	115.1	5.5	0.5	142.6	136.2	210.8	80.4	80.4
Zm00001d013676	4	mu1009302|mu1022301|mu1060016|mu1077607	UFMu-00104,UFMu-00605,UFMu-03211,UFMu-08121,UFMu-09487,UFMu-11230|UFMu-02197|UFMu-07768|UFMu-08892	NF-YA	13	4	Zm00004b011594	One-to-One	moderate	missense_variant	FALSE	1	1	acti		16.2	1.5	15.2	8.1	5.8	5.3	14.7	2.3	4.3	3.3	4.5	3.0	18.9	8.0	5.9	8.5	5.5	5.2	8.5
Zm00001d013694	3	mu1018826|mu1035319|mu1073367	UFMu-01166,UFMu-06359,UFMu-12063|UFMu-03485|UFMu-03450	MYB_related	109	28	Zm00004b011605	One-to-One	modifier	intron_variant	FALSE	0	NA	NA		27.7	20.5	28.5	28.1	27.5	30.4	35.7	26.2	26.3	30.6	31.5	32.3	28.6	21.0	30.0	28.4	27.5	27.0	30.0
Zm00001d013709	6	mu1015078|mu1015078|mu1022620|mu1034483|mu1042967|mu1079691	UFMu-01537,UFMu-02274,UFMu-04548|UFMu-10529,UFMu-11136|UFMu-02302|UFMu-03329|UFMu-05113|UFMu-08991,UFMu-11210	WRKY	121	39	Zm00004b011623	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		9.1	2.5	30.2	6.7	15.2	8.4	11.3	2.6	37.1	6.6	16.3	9.3	5.7	0.9	21.6	4.1	8.8	4.2	8.8
Zm00001d013777	2	mu1091739|mu1091740	UFMu-11240|UFMu-11256	MYB_related	109	29	Zm00004b011680	One-to-One	high	frameshift_variant	FALSE	239	0.8410041841004184	acti		579.3	228.8	202.7	178.0	418.6	437.5	215.4	85.2	94.0	136.5	279.6	339.6	395.9	174.5	126.2	146.1	363.5	412.3	412.3
Zm00001d013827	1	mu1053434	UFMu-06547	MYB_related	109	30	Zm00004b011732,Zm00004b011733	Many-to-One	moderate	missense_variant	FALSE	2	1	acti		21.1	17.4	21.1	19.6	20.5	27.7	28.1	19.4	19.0	15.7	21.5	25.2	24.7	19.3	24.6	17.6	21.4	23.9	24.7
Zm00001d014013	3	mu1042858|mu1056980|mu1077786	UFMu-05295|UFMu-07655|UFMu-09066	ARF	36	9	Zm00004b011881	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		82.2	15.4	77.2	18.9	31.8	31.4	46.7	11.6	45.3	15.2	31.7	25.5	53.1	18.0	68.3	41.0	35.6	33.3	68.3
Zm00001d014132	1	mu1053509	UFMu-06852	E2F/DP	19	5	Zm00004b011993	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		2.2	1.0	2.9	1.5	3.7	1.0	9.6	3.8	6.8	2.3	5.8	2.8	5.4	2.7	5.0	3.2	5.3	2.1	5.4
Zm00001d014364	1	mu1039055	UFMu-02879,UFMu-05790,UFMu-07498	MYB	163	41	Zm00004b012173	One-to-One	no_change	NA	FALSE	2	1	acti		0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.4	0.1	0.1	0.1	0.2	0.1	0.0	0.1	0.0	0.1	0.2
Zm00001d014377	6	mu1030129|mu1032676|mu1057013|mu1069602|mu1072318|mu1079775	UFMu-02858|UFMu-02602|UFMu-07430|UFMu-08552|UFMu-01954|UFMu-09212	ARF	36	10	Zm00004b012181	One-to-One	modifier	intron_variant	FALSE	1	1	acti	wang2018	226.4	15.6	963.2	219.2	202.9	416.8	351.5	18.3	587.8	216.5	228.3	379.9	248.7	18.8	584.9	282.8	211.0	397.1	584.9
Zm00001d014378	1	mu1086679	UFMu-11079,UFMu-11187	C3H	55	17	Zm00004b012182	One-to-Many	modifier	intron_variant	FALSE	0	NA	NA		27.0	14.7	32.0	13.7	19.8	19.2	25.9	17.7	33.7	14.6	24.3	20.1	25.1	14.7	32.0	17.7	23.6	17.6	32.0
Zm00001d014507	2	mu1067747|mu1069604	UFMu-08748|UFMu-08427	ARF	36	11	Zm00004b012273	One-to-One	high	frameshift_variant	FALSE	0	NA	NA		9.6	22.6	28.3	29.8	18.3	31.1	11.9	27.1	17.6	28.3	22.1	33.6	11.4	34.1	29.8	51.7	17.6	27.6	51.7
Zm00001d014656	1	mu1048685	UFMu-06509,UFMu-07952	GATA	36	11	Zm00004b012386	One-to-One	no_change	NA	FALSE	0	NA	NA		62.2	58.5	60.4	54.0	49.1	66.2	76.0	52.5	80.8	49.2	53.0	65.1	74.3	56.1	91.2	54.1	56.9	75.1	91.2
Zm00001d014690	2	mu1048693|mu1053564	UFMu-06250|UFMu-06830	ARF	36	12	Zm00004b012417	One-to-One	high	splice_acceptor_variant	FALSE	1	1	acti		23.0	12.1	114.1	17.1	168.1	21.9	16.6	5.7	22.6	32.0	144.8	26.9	20.1	0.5	45.0	18.9	134.3	15.9	45.0
Zm00001d014698	1	mu1008025	UFMu-00017	SBP	30	9	Zm00004b012423	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0	NA	NA		9.1	3.9	60.8	55.6	56.9	35.6	8.8	2.9	41.8	49.0	81.1	31.4	6.9	0.6	58.1	63.8	48.1	23.9	63.8
Zm00001d014705	1	mu1048696	UFMu-06496	C3H	55	18	Zm00004b012429	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		14.7	20.8	27.2	33.8	21.2	33.6	34.4	14.4	30.9	16.8	29.0	26.4	7.7	18.8	33.9	44.4	24.4	36.1	7.7
Zm00001d014723	1	mu1084977	UFMu-10393	ARR-B	9	3	Zm00004b012445	One-to-One	modifier	3_prime_UTR_variant	FALSE	1	1	acti	wang2018	14.5	0.6	14.7	16.2	7.0	13.0	21.9	2.0	34.1	10.6	9.2	13.5	16.0	0.6	12.0	10.7	6.2	11.6	6.2
Zm00001d014795	1	mu1042813	UFMu-04889	bZIP	128	26	Zm00004b012518	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		18.8	14.4	41.1	26.4	27.9	38.3	13.4	11.0	14.6	14.9	20.5	23.9	17.9	15.1	23.8	26.1	21.5	35.1	35.1
Zm00001d014814	4	mu1034966|mu1048707|mu1060260|mu1092026	UFMu-03509|UFMu-06181|UFMu-07758|UFMu-11199	bHLH	190	47	Zm00004b012532	One-to-One	no_change	NA	FALSE	10	1	acti		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zm00001d014863	2	mu1048715|mu1048716	UFMu-06481|UFMu-06522	MYB_related	109	32	Zm00004b012567	One-to-One	moderate	missense_variant	FALSE	56	0.32142857142857145	mix		39.2	14.9	54.2	39.1	37.9	47.5	73.2	28.3	47.2	56.2	53.1	60.9	89.6	44.3	93.7	52.9	44.3	67.0	93.7
Zm00001d014938	1	mu1022183	UFMu-01930,UFMu-04171	Trihelix	46	14	Zm00004b012633	One-to-One	low	synonymous_variant	FALSE	23	1	acti		24.1	0.1	0.0	2.8	0.4	10.4	54.3	0.2	0.0	0.8	1.1	13.3	41.6	0.1	0.0	3.3	0.7	11.6	41.6
Zm00001d014995	1	mu1074838	UFMu-03993	bHLH	190	48	Zm00004b012679	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0	NA	NA	wang2018	35.3	11.1	44.0	34.6	17.2	34.3	24.7	18.1	30.3	30.2	14.2	27.8	40.4	24.2	30.1	27.9	14.8	25.8	40.4
Zm00001d015118	1	mu1053617	UFMu-06537	bZIP	128	27	Zm00004b012784	One-to-Many	no_change	NA	FALSE	0	NA	NA		4.5	5.7	9.5	16.2	8.7	16.7	2.6	2.8	8.8	19.1	7.3	14.8	3.1	1.6	6.2	21.2	9.0	19.4	9.0
Zm00001d015127	2	mu1034781|mu1092086	UFMu-03236|UFMu-11153	NA	NA	NA	Zm00004b012791	One-to-One	modifier	intron_variant	TRUE	0	NA	NA		47.9	12.5	28.6	23.5	17.1	23.2	19.2	1.2	12.4	9.0	15.1	21.0	44.5	3.3	20.7	20.0	14.0	21.5	44.5
Zm00001d015201	3	mu1018800|mu1060292|mu1086732	UFMu-01175|UFMu-08221|UFMu-11122	Nin-like	17	6	Zm00004b012831	One-to-One	moderate	missense_variant	FALSE	25	0.52	mix		13.1	3.7	10.0	1.2	27.2	9.7	12.8	1.3	10.6	1.3	25.4	11.2	10.9	2.2	5.4	5.1	20.8	7.7	7.7
Zm00001d015226	1	mu1045486	UFMu-05381	G2-like	61	11	Zm00004b012862	One-to-One	high	splice_acceptor_variant	FALSE	0	NA	NA		0.0	1.2	26.1	9.4	1.7	5.6	0.3	0.5	27.2	6.5	2.5	5.5	0.0	1.9	9.9	4.6	1.3	2.7	9.9
Zm00001d015233	2	mu1039133|mu1041439	UFMu-03396|UFMu-04299	SBP	30	10	Zm00004b012866	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		5.7	6.8	70.6	43.0	12.0	15.2	6.0	6.0	29.7	32.7	15.7	10.2	6.2	10.4	45.1	63.2	10.4	12.3	63.2
Zm00001d015243	4	mu1015422|mu1015422|mu1053629|mu1053630	UFMu-00899,UFMu-01744,UFMu-02491,UFMu-04196,UFMu-06554|UFMu-11169|UFMu-06542|UFMu-06542	ARF	36	13	Zm00004b012870	One-to-Many	moderate	missense_variant	FALSE	46	1	acti	li2013	1.8	6.1	10.3	4.5	8.2	1.9	6.4	2.5	29.3	2.1	5.2	3.2	3.4	2.2	40.6	27.6	7.9	1.9	7.9
Zm00001d015265	2	mu1057118|mu1057119	UFMu-07312|UFMu-07312	HB-other	21	10	Zm00004b012885	One-to-One	low	synonymous_variant	FALSE	0	NA	NA		32.9	36.3	62.2	29.3	31.7	29.3	51.8	58.1	61.8	33.8	40.4	31.8	35.4	42.6	72.4	48.1	37.1	25.5	72.4
Zm00001d015410	1	mu1008951	UFMu-01672	SBP	30	11	Zm00004b012994	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		5.7	10.3	72.1	33.4	14.7	16.2	8.1	11.4	33.9	31.6	16.3	16.8	4.4	12.7	36.9	36.2	12.3	13.3	4.4
Zm00001d015412	1	mu1083820	UFMu-10402	Trihelix	46	15	Zm00004b012995	One-to-One	moderate	missense_variant	FALSE	0	NA	NA	li2013,wang2018	6.3	2.0	5.8	3.4	1.6	1.6	4.2	0.5	2.8	2.3	1.1	1.2	5.8	2.7	3.1	4.2	1.5	1.8	5.8
Zm00001d015521	1	mu1073734	UFMu-04310	G2-like	61	13	Zm00004b013074	One-to-One	moderate	missense_variant	FALSE	0	NA	NA	li2013,liu2017,wang2018	16.8	3.5	97.0	11.7	167.0	39.7	21.3	0.8	71.3	3.9	81.7	12.7	19.0	1.0	47.3	3.5	79.5	7.6	79.5
Zm00001d015743	1	mu1073987	UFMu-04510	bZIP	128	31	Zm00004b013218	One-to-One	low	synonymous_variant	FALSE	90	0.7777777777777778	mix		1.0	0.2	2.0	36.7	0.0	44.9	4.4	0.1	1.8	19.0	0.0	26.9	6.7	0.0	5.0	4.1	0.3	65.2	65.2
Zm00001d015990	2	mu1038797|mu1043012	UFMu-03793|UFMu-05344	CPP	12	3	Zm00004b013398	One-to-One	non-syntenic	splice_donor_variant	FALSE	0	NA	NA		2.3	7.4	2.4	5.2	4.7	3.5	5.5	7.5	2.9	5.0	6.6	4.9	5.8	7.2	2.4	5.9	5.5	3.1	7.2
Zm00001d016052	2	mu1025953|mu1034846	UFMu-11813|UFMu-03320	WRKY	121	41	Zm00004b013450	One-to-One	moderate	missense_variant	FALSE	1	1	acti		5.8	0.5	1.4	2.1	4.5	4.1	4.6	0.9	2.9	3.1	4.8	3.0	6.9	0.6	1.2	1.7	3.3	3.5	6.9
Zm00001d016154	2	mu1038804|mu1086520	UFMu-03763|UFMu-11115	bZIP	128	34	Zm00004b013523	One-to-One	moderate	missense_variant	FALSE	60	1	acti	li2013	0.6	0.0	0.0	0.0	35.3	19.8	0.6	0.0	0.0	0.0	17.7	17.5	0.2	0.0	0.0	0.3	28.1	28.0	28.1
Zm00001d016255	1	mu1086526	UFMu-10749	HSF	29	7	Zm00004b013608	One-to-One	modifier	5_prime_UTR_variant	FALSE	143	0.9533799533799534	acti	li2013	12.1	1.2	1.8	4.4	8.8	8.2	37.8	4.0	1.0	4.6	5.5	15.1	94.6	4.6	7.9	3.0	20.9	23.3	94.6
Zm00001d016298	4	mu1027488|mu1056770|mu1067502|mu1094935	UFMu-09399,UFMu-14002|UFMu-07586|UFMu-08471|UFMu-12961,UFMu-13495	TALE	28	8	Zm00004b013644	One-to-One	no_change	NA	FALSE	2	1	acti		67.1	1.2	0.6	1.9	2.1	12.2	55.0	0.4	0.5	1.2	1.3	10.2	57.9	5.6	0.3	0.4	1.3	10.0	57.9
Zm00001d016520	2	mu1023451|mu1083642	UFMu-02314|UFMu-10398	HSF	29	8	Zm00004b013825	One-to-One	modifier	intron_variant	FALSE	0	NA	NA		18.1	7.2	39.3	20.7	27.6	14.3	25.3	9.7	40.2	24.3	38.4	16.2	24.6	8.5	37.4	41.2	31.8	15.6	8.5
Zm00001d016604	1	mu1048417	UFMu-06420	Trihelix	46	17	Zm00004b013894	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		5.4	11.0	14.6	15.7	24.2	14.8	4.0	14.8	23.5	17.0	23.6	16.4	6.5	11.8	21.2	19.5	29.7	17.8	6.5
Zm00001d016674	4	mu1048425|mu1056797|mu1067531|mu1086551	UFMu-06347|UFMu-07611|UFMu-08828|UFMu-11130	HSF	29	9	Zm00004b013941	One-to-One	moderate	disruptive_inframe_deletion	FALSE	31	0.8064516129032258	acti		4.4	2.3	3.5	2.1	0.9	2.4	3.1	0.9	13.8	2.2	0.8	1.0	0.6	0.7	5.0	0.8	0.7	0.7	5.0
Zm00001d016737	3	mu1038851|mu1056802|mu1056802	UFMu-03723|UFMu-07530|UFMu-10507	E2F/DP	19	6	Zm00004b013988	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		19.8	20.9	23.3	3.9	10.6	11.2	7.7	14.2	5.8	4.0	11.4	7.9	9.1	15.0	7.4	3.4	10.1	8.1	9.1
Zm00001d016772	1	mu1038857	UFMu-03865	FAR1	14	1	Zm00004b014028	One-to-One	modifier	intron_variant	FALSE	53	0.949685534591195	acti		4.4	12.6	22.6	11.9	14.2	5.4	10.7	14.8	14.4	10.1	17.1	8.0	6.4	10.8	17.4	14.1	15.7	4.9	6.4
Zm00001d016784	2	mu1027682|mu1069535	UFMu-07303|UFMu-08328	MYB_related	109	35	Zm00004b014033	One-to-One	moderate	conservative_inframe_insertion	FALSE	0	NA	NA		19.5	21.9	32.9	15.0	17.8	13.7	28.6	21.0	30.7	16.3	24.1	13.7	21.8	19.9	32.9	21.6	22.8	13.5	32.9
Zm00001d016836	3	mu1025335|mu1069539|mu1077630	UFMu-06735|UFMu-08649|UFMu-08910	C3H	55	19	Zm00004b014076	One-to-One	no_change	NA	FALSE	4	1	acti		47.7	26.2	54.4	20.8	29.5	33.6	42.9	47.5	62.6	15.6	40.3	29.8	39.8	28.3	59.9	22.8	36.9	27.9	59.9
Zm00001d016838	3	mu1017684|mu1048438|mu1056811	UFMu-01180,UFMu-04168|UFMu-06531|UFMu-07277	ARF	36	14	Zm00004b014078	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		104.8	102.9	127.8	74.9	81.0	72.2	178.5	111.2	57.6	60.5	82.0	75.2	161.7	174.7	84.8	110.8	79.4	72.5	84.8
Zm00001d016873	3	mu1008506|mu1042964|mu1056819	UFMu-00148|UFMu-05224|UFMu-07157	bHLH	190	52	Zm00004b014115	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		29.3	22.7	9.7	14.0	1.6	2.3	39.3	21.0	8.7	9.4	1.2	1.5	58.3	33.6	38.6	22.5	28.7	20.9	58.3
Zm00001d016876	2	mu1009043|mu1072302	UFMu-00514|UFMu-02178,UFMu-09198	Trihelix	46	19	Zm00004b014117	One-to-One	high	frameshift_variant	FALSE	2	1	acti		4.0	4.1	4.9	3.2	3.5	2.7	5.5	2.4	4.2	2.7	4.4	4.4	7.4	6.0	7.7	4.9	4.3	3.7	7.7
Zm00001d016911	9	mu1015092|mu1015093|mu1015093|mu1021380|mu1038871|mu1053338|mu1060031|mu1077642|mu1084904	UFMu-01862|UFMu-01903,UFMu-02628,UFMu-03463,UFMu-03818,UFMu-05142|UFMu-09430,UFMu-10953,UFMu-11144,UFMu-12044,UFMu-13137,UFMu-13481|UFMu-01595,UFMu-02852|UFMu-03424|UFMu-06675|UFMu-07726|UFMu-08900|UFMu-10550	C2H2	132	44	Zm00004b014144	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		19.1	12.0	42.5	19.0	49.5	25.8	25.4	26.6	77.2	29.9	77.8	35.0	26.6	26.1	53.1	27.6	50.4	30.6	53.1
Zm00001d016924	1	mu1067549	UFMu-08662	EIL	9	3	Zm00004b014155	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		0.0	0.0	0.0	0.0	0.0	1.6	2.6	0.0	0.0	0.1	0.0	2.4	0.9	0.0	0.0	0.0	0.0	0.3	0.9
Zm00001d017084	4	mu1015127|mu1019590|mu1060044|mu1060044	UFMu-02616,UFMu-11079|UFMu-01145,UFMu-04762,UFMu-05007,UFMu-05749|UFMu-08229|UFMu-10662,UFMu-11152	NAC	126	37	Zm00004b014268	One-to-One	no_change	NA	FALSE	0	NA	NA		6.0	5.1	2.5	0.2	2.5	2.1	4.2	6.8	21.3	0.2	2.1	2.6	3.3	3.6	2.3	0.3	3.7	2.7	3.7
Zm00001d017112	2	mu1050963|mu1056834	UFMu-06089|UFMu-07177	B3	45	11	Zm00004b014291	One-to-One	high	stop_gained	FALSE	1	1	acti		3.2	10.0	65.6	7.7	32.5	6.8	22.2	4.1	18.0	4.6	15.3	4.7	20.9	27.8	45.0	41.8	37.8	14.8	45.0
Zm00001d017129	2	mu1042956|mu1050962	UFMu-04896|UFMu-05996	GRAS	81	19	Zm00004b014303	One-to-One	modifier	3_prime_UTR_variant	FALSE	0	NA	NA		6.6	18.4	17.8	17.2	14.4	17.6	14.1	26.7	5.7	22.9	18.7	22.5	8.9	20.7	6.4	25.1	15.4	16.6	8.9
Zm00001d017147	3	mu1015131|mu1083666|mu1086578	UFMu-01880|UFMu-10036|UFMu-10782	DBB	14	5	Zm00004b014318	One-to-One	high	frameshift_variant	FALSE	21	0.7777777777777778	mix		3.9	0.3	123.6	110.4	39.8	145.3	20.4	0.4	42.9	158.0	97.8	188.2	11.1	2.9	118.1	88.2	53.9	149.0	88.2
Zm00001d017176	3	mu1009717|mu1069549|mu1091695	UFMu-07964|UFMu-08793|UFMu-11276	DBB	14	6	Zm00004b014341	One-to-One	low	synonymous_variant	FALSE	18	1	acti		67.6	3.0	7.9	43.3	11.7	50.8	63.7	6.1	11.2	54.6	11.3	57.3	66.5	5.8	13.6	57.7	21.4	45.3	66.5
Zm00001d017366	1	mu1022379	UFMu-02189	ERF	177	44	Zm00004b014507	One-to-One	no_change	NA	FALSE	1	1	acti		0.6	0.1	5.3	0.6	3.5	0.3	0.6	0.7	70.0	0.3	7.4	0.6	1.3	0.4	138.5	1.4	10.3	0.3	138.5
Zm00001d017383	1	mu1034730	UFMu-03389	MYB	163	46	Zm00004b014520	One-to-One	non-syntenic	missense_variant	FALSE	1	1	acti		2.5	6.4	1.3	1.0	9.6	2.3	12.3	12.4	4.2	2.2	18.2	5.9	3.7	9.5	0.8	1.6	8.9	2.0	9.5
Zm00001d017385	1	mu1048481	UFMu-06510	MYB	163	47	Zm00004b014523	One-to-One	high	splice_donor_variant	FALSE	0	NA	NA		0.7	0.0	0.4	0.0	0.0	0.6	1.8	0.0	0.1	0.0	0.0	0.5	1.3	0.0	0.5	0.0	0.0	0.4	1.3
Zm00001d017409	8	mu1032471|mu1033775|mu1034922|mu1038907|mu1048486|mu1053372|mu1060063|mu1077666	UFMu-02693|UFMu-03169|UFMu-03455|UFMu-02889|UFMu-05984|UFMu-06718|UFMu-08218,UFMu-11246|UFMu-09182,UFMu-11038	GATA	36	13	Zm00004b014547	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		9.7	1.2	31.4	8.0	8.2	19.2	10.4	2.6	20.6	10.6	8.9	14.9	11.7	11.6	22.0	9.7	8.8	15.8	9.7
Zm00001d017420	1	mu1030109	UFMu-02809	Trihelix	46	20	Zm00004b014557	One-to-One	moderate	conservative_inframe_deletion	FALSE	0	NA	NA		22.5	19.0	17.7	2.1	2.5	8.3	24.4	18.0	10.1	2.5	1.7	8.4	41.5	17.4	5.8	3.2	2.3	8.2	8.2
Zm00001d017480	1	mu1091729	UFMu-12278	ERF	177	49	Zm00004b014607	One-to-One	no_change	NA	FALSE	1	1	acti		0.5	0.4	0.7	10.9	1.6	2.5	1.3	0.1	1.2	12.6	1.0	3.2	1.4	0.0	0.3	5.9	2.5	4.0	5.9
Zm00001d017513	3	mu1049653|mu1049654|mu1078654	UFMu-06297|UFMu-06482|UFMu-09170	GRAS	81	20	Zm00004b014634	One-to-One	moderate	conservative_inframe_insertion	FALSE	0	NA	NA		7.3	1.2	0.9	4.4	7.0	6.5	10.3	1.5	1.8	2.3	6.1	5.4	8.7	5.0	2.7	6.6	8.5	8.0	8.7
Zm00001d017602	3	mu1035889|mu1035889|mu1038923	UFMu-03526|UFMu-09477|UFMu-03963	GRF	15	6	Zm00004b014708	One-to-One	moderate	missense_variant	FALSE	2	1	acti		18.4	8.7	0.0	0.0	0.8	4.7	12.3	1.2	0.0	0.0	0.7	3.7	17.7	1.1	0.0	0.4	0.6	3.0	3.0
Zm00001d017618	1	mu1006942	UFMu-00514,UFMu-01180,UFMu-03171,UFMu-03654,UFMu-07749	B3	45	12	Zm00004b014724	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0	NA	NA		0.4	0.0	0.3	0.6	0.3	1.1	0.3	0.0	0.3	0.4	0.8	1.5	0.3	0.0	0.3	1.0	1.5	1.3	1.5
Zm00001d017642	3	mu1007324|mu1035116|mu1060080	UFMu-00558,UFMu-02853,UFMu-07446|UFMu-03203,UFMu-08140|UFMu-07749	MYB_related	109	40	Zm00004b014752	One-to-One	high	frameshift_variant	FALSE	0	NA	NA		1.1	0.2	4.9	1.0	0.7	0.4	1.2	0.1	1.9	2.6	1.5	0.3	1.0	0.5	5.0	1.5	1.9	0.8	5.0
Zm00001d017677	1	mu1091755	UFMu-11981	bHLH	190	55	Zm00004b014779	One-to-One	moderate	conservative_inframe_deletion	FALSE	3	0.7777777777777778	mix		8.9	0.2	0.9	23.2	5.9	19.9	6.6	0.0	0.0	25.7	1.9	16.3	7.2	0.0	0.0	12.4	1.8	20.3	7.2
Zm00001d017726	2	mu1041334|mu1091761	UFMu-04314|UFMu-11939	G2-like	61	17	Zm00004b014823	One-to-One	high	frameshift_variant	FALSE	0	NA	NA		7.0	0.0	5.8	5.1	28.6	6.7	31.6	0.3	12.5	5.2	16.8	7.0	26.5	0.1	5.8	4.1	23.2	4.7	5.8
Zm00001d017742	4	mu1019248|mu1053392|mu1071203|mu1083682	UFMu-01153|UFMu-06720|UFMu-02772|UFMu-10448	GRF	15	7	Zm00004b014844	One-to-One	moderate	missense_variant	FALSE	5	1	acti		53.7	0.1	1.7	1.0	0.0	7.8	70.6	0.4	2.2	0.6	0.3	4.5	128.6	1.0	1.1	0.5	0.1	6.1	6.1
Zm00001d017784	2	mu1029281|mu1091776	UFMu-03628,UFMu-06364,UFMu-07139,UFMu-10541|UFMu-11277	ZF-HD	21	6	Zm00004b014876	One-to-One	no_change	NA	FALSE	1	1	acti	wang2018	11.2	0.0	0.7	1.4	0.7	5.0	12.1	0.1	0.5	1.1	0.3	4.7	12.2	0.0	0.4	1.8	0.3	3.9	3.9
Zm00001d017986	1	mu1094996	UFMu-11981	E2F/DP	19	8	Zm00004b015051	One-to-One	moderate	disruptive_inframe_deletion	FALSE	34	1	acti		64.1	0.6	0.1	1.0	6.5	14.6	17.2	0.3	0.0	0.1	3.8	6.5	30.6	0.6	0.0	0.2	3.5	8.9	8.9
Zm00001d018050	4	mu1018370|mu1023449|mu1060106|mu1060107	UFMu-00954|UFMu-02127,UFMu-04519,UFMu-06967|UFMu-07980|UFMu-07980	AP2	28	8	Zm00004b015117	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		40.8	39.5	37.1	27.2	28.5	32.5	31.6	26.8	32.5	25.8	32.2	25.0	39.4	26.8	47.1	39.4	34.3	31.4	47.1
Zm00001d018056	1	mu1038962	UFMu-02672	bHLH	190	60	Zm00004b015123	One-to-One	modifier	3_prime_UTR_variant	FALSE	36	1	acti		0.6	0.2	0.5	11.7	10.7	23.7	1.0	0.1	1.6	7.5	7.1	15.3	0.2	0.1	0.3	5.8	12.4	20.7	5.8
Zm00001d018081	5	mu1019939|mu1048539|mu1067639|mu1075744|mu1084929	UFMu-00876|UFMu-06408|UFMu-08487|UFMu-08487|UFMu-10380	ERF	177	52	Zm00004b015147	One-to-One	non-syntenic	NA	FALSE	0	NA	NA		31.2	40.2	129.5	126.1	106.9	112.8	83.9	29.7	456.1	67.9	138.0	101.2	109.5	49.1	214.7	49.7	92.1	60.9	92.1
Zm00001d018142	1	mu1041358	UFMu-04761	MIKC_MADS	42	12	Zm00004b015192	One-to-One	high	stop_gained	FALSE	1	1	acti		9.8	6.5	113.7	65.4	0.1	4.0	13.4	21.8	129.4	77.9	0.0	7.3	8.7	7.9	126.6	85.6	0.0	3.4	85.6
Zm00001d018158	1	mu1081416	UFMu-09903	ERF	177	53	Zm00004b015205	One-to-One	non-syntenic	NA	FALSE	1	1	acti		0.2	0.0	0.4	0.0	0.1	0.0	3.1	0.0	2.4	0.0	0.0	0.2	0.9	0.0	1.0	0.0	0.0	0.0	1.0
Zm00001d018178	3	mu1041361|mu1067645|mu1081417	UFMu-04595|UFMu-08588|UFMu-09541	bZIP	128	37	Zm00004b015211	One-to-One	non-syntenic	missense_variant	FALSE	56	1	acti		7.5	5.3	27.2	20.5	9.2	12.1	39.2	9.1	196.1	34.7	15.1	15.1	38.2	4.5	110.4	60.8	18.1	15.4	60.8
Zm00001d018198	1	mu1041363	UFMu-04603	GeBP	20	5	Zm00004b015230	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		1.7	0.5	2.0	1.4	3.2	1.6	1.7	0.4	1.2	1.5	2.6	1.5	2.7	0.1	1.3	1.0	3.3	1.6	3.3
