gid	n_mu	mid	sids	tf	ttype	impact	eff	de_BM
Zm00001d012586	1	mu1042267	UFMu-04999	FALSE	mRNA	high	splice_donor_variant	1-5
Zm00001d012590	1	mu1061074	UFMu-08182	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012591	1	mu1087257	UFMu-11121	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012597	2	mu1049690|mu1085203	UFMu-06134|UFMu-10531	FALSE	mRNA	high	frameshift_variant	10+
Zm00001d012599	2	mu1031466|mu1032129	UFMu-02730|UFMu-02979	FALSE	mRNA	non-syntenic	missense_variant	10+
Zm00001d012601	>=3	mu1039989|mu1039989|mu1057935|mu1068601|mu1073801|mu1073802	UFMu-03781|UFMu-07189|UFMu-07377|UFMu-08433|UFMu-04803,UFMu-05747|UFMu-04803,UFMu-05747	FALSE	mRNA	modifier	5_prime_UTR_variant	10+
Zm00001d012604	>=3	mu1042266|mu1057936|mu1061075|mu1081923|mu1082639|mu1095456	UFMu-05070|UFMu-07137|UFMu-08239,UFMu-11194,UFMu-12590|UFMu-09844|UFMu-09494|UFMu-11276	FALSE	mRNA	modifier	intron_variant	5-10
Zm00001d012607	1	mu1093402	UFMu-12588	FALSE	mRNA	modifier	intron_variant	10+
Zm00001d012610	1	mu1061076	UFMu-07769	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012611	2	mu1069879|mu1087259	UFMu-08798|UFMu-11119	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012618	1	mu1081924	UFMu-09546	FALSE	mRNA	low	synonymous_variant	1-5
Zm00001d012620	>=3	mu1045931|mu1049693|mu1050369|mu1072396|mu1082641	UFMu-05807|UFMu-06344|UFMu-06344|UFMu-02178|UFMu-09463	FALSE	mRNA	high	splice_acceptor_variant	5-10
Zm00001d012621	1	mu1041825	UFMu-04696	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012624	>=3	mu1016367|mu1016367|mu1016367	UFMu-01863,UFMu-02496|UFMu-04799,UFMu-07527,UFMu-08242|UFMu-09504,UFMu-10924	FALSE	mRNA	high	splice_acceptor_variant	1-5
Zm00001d012625	>=3	mu1018436|mu1031759|mu1093404	UFMu-00948|UFMu-02945|UFMu-12041	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012629	>=3	mu1019111|mu1023115|mu1049694|mu1050172|mu1057938|mu1070561|mu1095457	UFMu-01180,UFMu-02869,UFMu-05293|UFMu-02418|UFMu-06492|UFMu-06403|UFMu-07612|UFMu-02869|UFMu-13111	FALSE	mRNA	non-syntenic	splice_donor_variant	1-5
Zm00001d012633	1	mu1031107	UFMu-02691	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012634	>=3	mu1021240|mu1041826|mu1050724|mu1087260|mu1095458	UFMu-01781|UFMu-04501|UFMu-06216|UFMu-10733|UFMu-13993	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012635	>=3	mu1068604|mu1078691|mu1085204	UFMu-08298|UFMu-09262|UFMu-10374	FALSE	mRNA	high	stop_gained	5-10
Zm00001d012640	>=3	mu1032887|mu1032887|mu1084184	UFMu-02606,UFMu-07020|UFMu-09456,UFMu-11141|UFMu-10010	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d012641	1	mu1023642	UFMu-01904	FALSE	mRNA	moderate	disruptive_inframe_insertion	1-5
Zm00001d012643	2	mu1054487|mu1068605	UFMu-06724|UFMu-08301	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d012644	1	mu1049696	UFMu-06162	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012645	2	mu1027201|mu1081925	UFMu-07749|UFMu-09561	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012647	1	mu1011657	UFMu-01123,UFMu-01783,UFMu-03538,UFMu-05721	FALSE	mRNA	high	splice_acceptor_variant	0
Zm00001d012648	>=3	mu1023614|mu1049697|mu1093407	UFMu-02005|UFMu-05970|UFMu-13538	FALSE	mRNA	moderate	disruptive_inframe_insertion	1-5
Zm00001d012652	>=3	mu1041827|mu1054488|mu1078694	UFMu-04306|UFMu-06715,UFMu-07768|UFMu-09400	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d012653	>=3	mu1018323|mu1018992|mu1032335|mu1061081	UFMu-00615,UFMu-04824,UFMu-06378,UFMu-06873|UFMu-00679,UFMu-06378,UFMu-06873|UFMu-02510|UFMu-07948	FALSE	mRNA	high	exon_loss_variant	5-10
Zm00001d012654	1	mu1022312	UFMu-02252,UFMu-09463	FALSE	mRNA	high	splice_acceptor_variant	5-10
Zm00001d012655	>=3	mu1008470|mu1009418|mu1016371|mu1022356|mu1049698|mu1049699|mu1054489|mu1080088|mu1084185|mu1087261|mu1093409	UFMu-00017,UFMu-02775|UFMu-00463,UFMu-01368|UFMu-01083,UFMu-01265|UFMu-01903|UFMu-06118|UFMu-06266|UFMu-06863|UFMu-09163|UFMu-10378|UFMu-10814|UFMu-12455	FALSE	mRNA	high	splice_donor_variant	5-10
Zm00001d012656	>=3	mu1016372|mu1050723|mu1054490|mu1078696	UFMu-01340,UFMu-04219|UFMu-06266|UFMu-06562|UFMu-09399	FALSE	mRNA	high	stop_gained	1-5
Zm00001d012659	>=3	mu1007834|mu1016373|mu1049700|mu1078698	UFMu-00095|UFMu-01253|UFMu-06517|UFMu-09044	FALSE	mRNA	low	splice_region_variant	1-5
Zm00001d012660	>=3	mu1033372|mu1039996|mu1054491|mu1061083|mu1069882	UFMu-03233,UFMu-06784|UFMu-03454|UFMu-06549|UFMu-07809|UFMu-08500,UFMu-09435	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012661	>=3	mu1018133|mu1021556|mu1061084|mu1093412	UFMu-00970|UFMu-01983|UFMu-08145|UFMu-11796	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012662	>=3	mu1019797|mu1019797|mu1023177|mu1049703	UFMu-01110|UFMu-07286,UFMu-07765|UFMu-01887|UFMu-06138	FALSE	mRNA	high	splice_acceptor_variant	10+
Zm00001d012664	>=3	mu1019691|mu1030766|mu1033002|mu1040206|mu1041913|mu1042118|mu1050679|mu1050680|mu1054710|mu1054711|mu1061290|mu1080166|mu1080296|mu1085260|mu1095567	UFMu-01053|UFMu-02693|UFMu-02691|UFMu-04052|UFMu-04400|UFMu-05260|UFMu-06496|UFMu-06496|UFMu-06844|UFMu-06844|UFMu-07948|UFMu-08896|UFMu-04400|UFMu-10202|UFMu-11334	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012665	>=3	mu1019117|mu1080089|mu1095459	UFMu-00751|UFMu-09276|UFMu-13464	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012666	>=3	mu1034543|mu1045933|mu1045933|mu1049705	UFMu-03243|UFMu-05616|UFMu-07676,UFMu-11971|UFMu-06078	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d012667	>=3	mu1011351|mu1017397|mu1022894|mu1022894|mu1032672|mu1033071|mu1033231|mu1039997|mu1039997|mu1042263|mu1042264|mu1061086|mu1068607|mu1071480|mu1071481|mu1072050|mu1078700|mu1080090|mu1095460	UFMu-02820,UFMu-06858,UFMu-10934,UFMu-11146,UFMu-12187,UFMu-12397|UFMu-01070|UFMu-02344|UFMu-08182|UFMu-08182|UFMu-02628,UFMu-05772|UFMu-03457|UFMu-03865|UFMu-08182|UFMu-05113|UFMu-05123|UFMu-08040|UFMu-08274|UFMu-02883|UFMu-03034|UFMu-02344|UFMu-09025,UFMu-10816|UFMu-09220|UFMu-13152	FALSE	mRNA	high	stop_gained	5-10
Zm00001d012672	>=3	mu1010324|mu1018450|mu1021759|mu1033159|mu1039998|mu1039999|mu1049708|mu1078701|mu1078703|mu1081927|mu1093414	UFMu-00011|UFMu-01042|UFMu-01250|UFMu-02983|UFMu-04176|UFMu-04178|UFMu-06241|UFMu-09008|UFMu-09142|UFMu-09478|UFMu-13149	FALSE	mRNA	high	splice_acceptor_variant	5-10
Zm00001d012673	>=3	mu1049709|mu1054492|mu1061090	UFMu-06531|UFMu-06889|UFMu-08006	FALSE	mRNA	high	stop_gained	5-10
Zm00001d012674	>=3	mu1041830|mu1049710|mu1049711|mu1069884	UFMu-04511,UFMu-07759|UFMu-06492|UFMu-06527|UFMu-08569	FALSE	mRNA	modifier	intron_variant	10+
Zm00001d012675	>=3	mu1025130|mu1030191|mu1030830|mu1031026|mu1049712|mu1049713|mu1049714|mu1093415|mu1093417|mu1095461	UFMu-11435|UFMu-02704|UFMu-03039|UFMu-02704|UFMu-06512|UFMu-06512|UFMu-06514|UFMu-13149|UFMu-13969|UFMu-11297	FALSE	mRNA	high	splice_donor_variant	5-10
Zm00001d012677	>=3	mu1049716|mu1071482|mu1085206|mu1087263	UFMu-06266|UFMu-02510|UFMu-10455|UFMu-10992	FALSE	mRNA	high	frameshift_variant	10+
Zm00001d012679	1	mu1049715	UFMu-06520,UFMu-06536	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d012681	2	mu1054493|mu1093418	UFMu-06830|UFMu-13307	FALSE	mRNA	non-syntenic	splice_acceptor_variant	5-10
Zm00001d012685	>=3	mu1029882|mu1030808|mu1045937|mu1050722|mu1054494	UFMu-02866|UFMu-02745,UFMu-06062|UFMu-05570|UFMu-06062|UFMu-06711	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012687	>=3	mu1032460|mu1041831|mu1045938|mu1080091	UFMu-02748|UFMu-04599|UFMu-05723|UFMu-09181	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012688	>=3	mu1017424|mu1018820|mu1085207|mu1093421|mu1093423	UFMu-00973,UFMu-01865|UFMu-00973|UFMu-10380|UFMu-13439|UFMu-12596	TRUE	mRNA	non-syntenic	missense_variant	1-5
Zm00001d012690	1	mu1049718	UFMu-06254	FALSE	mRNA	high	splice_acceptor_variant	5-10
Zm00001d012691	1	mu1087265	UFMu-11122	FALSE	mRNA	non-syntenic	stop_lost	1-5
Zm00001d012693	>=3	mu1017019|mu1017860|mu1041833|mu1061091|mu1075659|mu1085208	UFMu-01162|UFMu-00589|UFMu-04337|UFMu-08238|UFMu-05742|UFMu-10392	FALSE	mRNA	high	splice_acceptor_variant	5-10
Zm00001d012699	1	mu1019271	UFMu-00644	FALSE	mRNA	modifier	intron_variant	1-5
Zm00001d012701	>=3	mu1040001|mu1084186|mu1093425	UFMu-03654|UFMu-10378|UFMu-12010	FALSE	mRNA	non-syntenic	frameshift_variant	10+
Zm00001d012707	>=3	mu1016376|mu1032227|mu1045940|mu1049721	UFMu-01006|UFMu-02693|UFMu-05590|UFMu-06241	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012708	1	mu1087266	UFMu-10948	FALSE	mRNA	high	exon_loss_variant	10+
Zm00001d012709	1	mu1081930	UFMu-09903	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012718	>=3	mu1045941|mu1057941|mu1081931	UFMu-05745|UFMu-07518|UFMu-09510	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012728	2	mu1045942|mu1078705	UFMu-05762|UFMu-08950	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012731	1	mu1061094	UFMu-07786	TRUE	mRNA	high	splice_acceptor_variant	10+
Zm00001d012734	2	mu1027642|mu1033060	UFMu-07653|UFMu-02864	TRUE	mRNA	high	frameshift_variant	5-10
Zm00001d012735	>=3	mu1024307|mu1032875|mu1040002|mu1040003|mu1049723|mu1057942|mu1088137	UFMu-08896|UFMu-02602|UFMu-03095|UFMu-03454|UFMu-06491|UFMu-07176|UFMu-10962	FALSE	mRNA	no_change	NA	0
Zm00001d012736	1	mu1093431	UFMu-13940	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012738	>=3	mu1040004|mu1042262|mu1054498|mu1061098	UFMu-02701,UFMu-03830|UFMu-05305,UFMu-05632|UFMu-06714|UFMu-07996	FALSE	mRNA	no_change	NA	1-5
Zm00001d012741	>=3	mu1018295|mu1034768|mu1034768|mu1061099|mu1081934	UFMu-00644,UFMu-06614|UFMu-03533|UFMu-06614|UFMu-07946|UFMu-09482	FALSE	mRNA	no_change	NA	5-10
Zm00001d012742	2	mu1061099|mu1081933	UFMu-07946|UFMu-09464	FALSE	mRNA	no_change	NA	0
Zm00001d012743	>=3	mu1030485|mu1061100|mu1078707|mu1080094	UFMu-02899|UFMu-07907|UFMu-09347|UFMu-09133,UFMu-09565	FALSE	mRNA	non-syntenic	frameshift_variant	10+
Zm00001d012745	1	mu1070574	UFMu-02902	FALSE	mRNA	non-syntenic	NA	10+
Zm00001d012746	1	mu1054499	UFMu-06540	TRUE	mRNA	high	stop_gained	10+
Zm00001d012748	>=3	mu1054500|mu1054501|mu1057945|mu1061101|mu1061102|mu1078708	UFMu-06852|UFMu-06852|UFMu-07357|UFMu-08183|UFMu-08183|UFMu-08977	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012749	>=3	mu1016378|mu1016378|mu1018357	UFMu-02413|UFMu-10880|UFMu-00801,UFMu-06496	TRUE	mRNA	moderate	missense_variant	1-5
Zm00001d012750	>=3	mu1057946|mu1085209|mu1093433	UFMu-07310|UFMu-10264|UFMu-12293	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012751	>=3	mu1016379|mu1061103|mu1084187	UFMu-02237,UFMu-02493,UFMu-06667|UFMu-08042|UFMu-10402	TRUE	mRNA	high	frameshift_variant	1-5
Zm00001d012752	>=3	mu1017316|mu1017316|mu1093434	UFMu-00644,UFMu-03993|UFMu-05410,UFMu-06150|UFMu-13137	FALSE	mRNA	high	stop_lost	10+
Zm00001d012755	>=3	mu1016380|mu1016380|mu1040005|mu1042261	UFMu-01875|UFMu-04529|UFMu-03301|UFMu-05300	FALSE	mRNA	high	stop_gained	5-10
Zm00001d012757	1	mu1093435	UFMu-12019	TRUE	mRNA	high	stop_gained	5-10
Zm00001d012765	>=3	mu1016381|mu1022291|mu1032956|mu1045943|mu1057950|mu1061104|mu1074907|mu1078710|mu1081936|mu1081937|mu1081938|mu1084189	UFMu-06937,UFMu-09533,UFMu-10964,UFMu-11321|UFMu-01979|UFMu-02628,UFMu-06592|UFMu-05750|UFMu-07594|UFMu-07758|UFMu-04038|UFMu-09344|UFMu-09453|UFMu-09475|UFMu-09656|UFMu-10066	FALSE	mRNA	high	splice_acceptor_variant	10+
Zm00001d012768	>=3	mu1029194|mu1029319|mu1040010|mu1040010|mu1041838|mu1078712|mu1081939|mu1081940	UFMu-02865|UFMu-02694,UFMu-09717|UFMu-02519|UFMu-06924|UFMu-04382|UFMu-09252|UFMu-09477,UFMu-11168|UFMu-09477	FALSE	mRNA	high	start_lost	1-5
Zm00001d012769	>=3	mu1021645|mu1023724|mu1041839|mu1071484	UFMu-01660|UFMu-01869|UFMu-04399,UFMu-07468|UFMu-02889	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012770	1	mu1049726	UFMu-06242	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012771	>=3	mu1018772|mu1018772|mu1061105	UFMu-00944,UFMu-05585|UFMu-06409|UFMu-07768	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012774	>=3	mu1019245|mu1049727|mu1049727|mu1057951|mu1095464	UFMu-01002|UFMu-06516|UFMu-11442|UFMu-07275|UFMu-11975	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012776	>=3	mu1008732|mu1008732|mu1023426|mu1040011	UFMu-00381|UFMu-04312,UFMu-04889,UFMu-06499|UFMu-02254|UFMu-03723	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012782	1	mu1030033	UFMu-02919	FALSE	mRNA	moderate	disruptive_inframe_deletion	1-5
Zm00001d012795	2	mu1030273|mu1075146	UFMu-02932|UFMu-05721	FALSE	mRNA	non-syntenic	NA	10+
Zm00001d012800	2	mu1043023|mu1048339	UFMu-05265|UFMu-05970	FALSE	mRNA	modifier	3_prime_UTR_variant	5-10
Zm00001d012806	>=3	mu1026373|mu1056998|mu1065266	UFMu-05113,UFMu-09456|UFMu-07224|UFMu-00598,UFMu-02760	FALSE	mRNA	non-syntenic	exon_loss_variant	1-5
Zm00001d012807	1	mu1086682	UFMu-10992	FALSE	mRNA	non-syntenic	missense_variant	1-5
Zm00001d012809	>=3	mu1057051|mu1057051|mu1086701	UFMu-07177|UFMu-11859|UFMu-11118	FALSE	mRNA	low	synonymous_variant	1-5
Zm00001d012810	2	mu1035203|mu1042808	UFMu-03451|UFMu-05173	FALSE	mRNA	moderate	conservative_inframe_deletion	5-10
Zm00001d012811	>=3	mu1031522|mu1031522|mu1041420|mu1071251|mu1079785|mu1086711	UFMu-02689|UFMu-07297|UFMu-04319|UFMu-02816,UFMu-08988|UFMu-09269|UFMu-10992	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012813	1	mu1031457	UFMu-02681	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012815	1	mu1053618	UFMu-06721	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d012816	>=3	mu1019354|mu1019354|mu1083810|mu1086727|mu1092088|mu1092089	UFMu-00809|UFMu-04983|UFMu-09996|UFMu-10992|UFMu-11329|UFMu-11213	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012817	>=3	mu1039140|mu1060303|mu1060304|mu1071262|mu1082524	UFMu-03503,UFMu-05390|UFMu-07965|UFMu-07965|UFMu-02503,UFMu-03503|UFMu-09486	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012819	1	mu1081521	UFMu-09468	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012820	>=3	mu1053641|mu1086740|mu1092119	UFMu-06543|UFMu-10756|UFMu-13047	FALSE	mRNA	moderate	conservative_inframe_insertion	5-10
Zm00001d012821	2	mu1035976|mu1053655	UFMu-03208|UFMu-06537	FALSE	mRNA	high	splice_acceptor_variant	10+
Zm00001d012822	>=3	mu1017988|mu1067834|mu1092140	UFMu-00598,UFMu-02760,UFMu-06773|UFMu-08754,UFMu-12250|UFMu-11660	FALSE	mRNA	high	splice_acceptor_variant	1-5
Zm00001d012824	1	mu1015441	UFMu-01489,UFMu-02987	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012825	1	mu1095093	UFMu-11878	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012826	>=3	mu1045491|mu1069634|mu1070399	UFMu-05497|UFMu-08754|UFMu-02602,UFMu-05497	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012827	>=3	mu1021026|mu1067838|mu1085003	UFMu-01682|UFMu-08301|UFMu-10101	FALSE	mRNA	moderate	disruptive_inframe_deletion	5-10
Zm00001d012830	>=3	mu1015447|mu1053664|mu1067841	UFMu-01270|UFMu-06552|UFMu-08307	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012832	>=3	mu1007820|mu1022402|mu1023988|mu1067843|mu1071269	UFMu-00436|UFMu-02338|UFMu-03446,UFMu-11113|UFMu-08459|UFMu-02628	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012833	2	mu1009246|mu1087968	UFMu-00464|UFMu-10680	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012834	>=3	mu1009246|mu1019732|mu1019732|mu1057144|mu1071928|mu1095097	UFMu-00464|UFMu-00990|UFMu-07428|UFMu-07428|UFMu-01992|UFMu-12933	FALSE	mRNA	low	5_prime_UTR_premature_start_codon_gain_variant	10+
Zm00001d012836	1	mu1092146	UFMu-11666	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012838	>=3	mu1007084|mu1031543|mu1079815|mu1092149	UFMu-00075|UFMu-02826,UFMu-07583|UFMu-08940|UFMu-12944	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d012840	>=3	mu1007466|mu1042773|mu1053669	UFMu-00011,UFMu-01155,UFMu-05970|UFMu-04970|UFMu-06542	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012844	2	mu1082463|mu1091509	UFMu-09421|UFMu-11685	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012845	>=3	mu1043034|mu1053237|mu1081311	UFMu-05099|UFMu-06638|UFMu-09441	FALSE	mRNA	non-syntenic	transcript_ablation	10+
Zm00001d012846	1	mu1056719	UFMu-07494	FALSE	mRNA	high	splice_acceptor_variant	1-5
Zm00001d012847	2	mu1083598|mu1091514	UFMu-10380|UFMu-13423	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012848	1	mu1024660	UFMu-08281	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012849	>=3	mu1022011|mu1041270|mu1048331	UFMu-01407|UFMu-04529|UFMu-06462	FALSE	mRNA	low	synonymous_variant	10+
Zm00001d012851	>=3	mu1011303|mu1091516|mu1094915	UFMu-06413|UFMu-12292|UFMu-12156	FALSE	mRNA	high	stop_lost	5-10
Zm00001d012852	>=3	mu1043030|mu1043030|mu1081317|mu1083602|mu1084879|mu1091518	UFMu-05061|UFMu-06761|UFMu-09492|UFMu-10381|UFMu-10381|UFMu-11882	FALSE	mRNA	high	splice_donor_variant	10+
Zm00001d012853	>=3	mu1025595|mu1043028|mu1048335|mu1048336|mu1073354|mu1082464|mu1084880|mu1084881	UFMu-06904|UFMu-05110|UFMu-06502|UFMu-06502|UFMu-03264|UFMu-09463|UFMu-10552|UFMu-10407,UFMu-10711	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012854	2	mu1056722|mu1056723	UFMu-07259|UFMu-07526	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012855	>=3	mu1009507|mu1043026|mu1072290	UFMu-00416|UFMu-05113|UFMu-01863	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012856	>=3	mu1034684|mu1043024|mu1045292|mu1086501|mu1091522	UFMu-03529,UFMu-07356|UFMu-04979|UFMu-05491|UFMu-11112|UFMu-12989	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012857	1	mu1032237	UFMu-02510	FALSE	mRNA	low	5_prime_UTR_premature_start_codon_gain_variant	10+
Zm00001d012858	1	mu1083608	UFMu-10187	FALSE	mRNA	non-syntenic	5_prime_UTR_variant	10+
Zm00001d012859	2	mu1029708|mu1069515	UFMu-02507|UFMu-08747	FALSE	mRNA	moderate	conservative_inframe_insertion	5-10
Zm00001d012861	1	mu1015014	UFMu-01824	FALSE	mRNA	non-syntenic	splice_acceptor_variant	10+
Zm00001d012863	>=3	mu1018108|mu1045305|mu1071173	UFMu-01071|UFMu-05472|UFMu-02628	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d012865	>=3	mu1011586|mu1038790|mu1048365|mu1083618	UFMu-06498|UFMu-03573|UFMu-06508,UFMu-07720|UFMu-10408	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012866	1	mu1079666	UFMu-09184	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d012867	1	mu1067474	UFMu-08805	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012868	>=3	mu1029774|mu1033238|mu1053267|mu1079667|mu1091565	UFMu-02902|UFMu-02902|UFMu-06856|UFMu-09290|UFMu-11423	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012869	>=3	mu1053271|mu1067475|mu1084884	UFMu-06545|UFMu-08748|UFMu-10018	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012875	>=3	mu1035788|mu1035788|mu1038808|mu1053287|mu1056762|mu1067490|mu1086523	UFMu-03158|UFMu-06409,UFMu-06695|UFMu-03934|UFMu-06695|UFMu-07299|UFMu-08299|UFMu-10566	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012880	>=3	mu1015041|mu1029196|mu1056769|mu1065308	UFMu-01469|UFMu-02552|UFMu-07353,UFMu-08182|UFMu-00649	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012881	>=3	mu1003334|mu1032868|mu1056771	UFMu-00227|UFMu-02463|UFMu-07180	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d012882	1	mu1042994	UFMu-04915	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012883	1	mu1094936	UFMu-13717	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012886	>=3	mu1007638|mu1082474|mu1084893	UFMu-00386|UFMu-09538|UFMu-10378	FALSE	mRNA	high	splice_acceptor_variant	10+
Zm00001d012887	1	mu1091613	UFMu-11979	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012888	1	mu1056780	UFMu-07532,UFMu-07861	FALSE	mRNA	modifier	5_prime_UTR_variant	0
Zm00001d012890	>=3	mu1030582|mu1030582|mu1032494|mu1032494|mu1048402|mu1069528|mu1073365|mu1081342|mu1091614	UFMu-02609|UFMu-09478,UFMu-11265|UFMu-03445|UFMu-06276|UFMu-06276|UFMu-08402|UFMu-03445,UFMu-04204|UFMu-09505|UFMu-12309	FALSE	mRNA	modifier	intron_variant	5-10
Zm00001d012891	2	mu1017193|mu1017305	UFMu-00809,UFMu-01725|UFMu-00809,UFMu-01725	FALSE	mRNA	high	stop_gained	0
Zm00001d012893	1	mu1091625	UFMu-11435	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d012895	>=3	mu1008535|mu1021474|mu1024055|mu1026542|mu1026542|mu1041297|mu1045334|mu1086547|mu1086548|mu1086549	UFMu-00166|UFMu-01581,UFMu-02866|UFMu-12563|UFMu-03160|UFMu-12566|UFMu-04450|UFMu-05764|UFMu-10572|UFMu-10982|UFMu-10963	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d012896	>=3	mu1019663|mu1050967|mu1086553	UFMu-01144,UFMu-03540|UFMu-06497|UFMu-10620	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d012898	1	mu1033448	UFMu-03220	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012900	1	mu1073368	UFMu-03479	FALSE	mRNA	non-syntenic	disruptive_inframe_deletion	5-10
Zm00001d012902	>=3	mu1016250|mu1042966|mu1054352	UFMu-02444|UFMu-04895|UFMu-06863	FALSE	mRNA	non-syntenic	transcript_ablation	10+
Zm00001d012911	>=3	mu1007667|mu1009446|mu1015134|mu1056835|mu1072796|mu1073371|mu1074371|mu1081374	UFMu-00290,UFMu-02516,UFMu-10948|UFMu-00300|UFMu-01810,UFMu-03224|UFMu-07431|UFMu-03363|UFMu-03323|UFMu-03766|UFMu-09477	FALSE	mRNA	non-syntenic	splice_donor_variant	10+
Zm00001d012912	>=3	mu1009446|mu1072796|mu1074371	UFMu-00300|UFMu-03363|UFMu-03766	FALSE	mRNA	non-syntenic	transcript_ablation	0
Zm00001d012913	>=3	mu1042952|mu1045351|mu1091696|mu1091697|mu1094963	UFMu-04869|UFMu-05761|UFMu-11508|UFMu-13499|UFMu-13496	FALSE	mRNA	moderate	disruptive_inframe_deletion	1-5
Zm00001d012915	2	mu1056839|mu1083669	UFMu-07326|UFMu-10559	FALSE	mRNA	moderate	missense_variant	0
Zm00001d012916	>=3	mu1023225|mu1023225|mu1048470|mu1050475	UFMu-02389,UFMu-02796,UFMu-03136|UFMu-04588,UFMu-05596,UFMu-11218|UFMu-06526|UFMu-06523	TRUE	mRNA	high	frameshift_variant	5-10
Zm00001d012917	1	mu1042942	UFMu-05113	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d012918	>=3	mu1018205|mu1087918|mu1091714	UFMu-01180|UFMu-11089,UFMu-12373|UFMu-12278	FALSE	mRNA	low	synonymous_variant	1-5
Zm00001d012921	1	mu1024188	UFMu-11977	FALSE	mRNA	no_change	NA	5-10
Zm00001d012922	>=3	mu1018937|mu1029230|mu1067593	UFMu-01110|UFMu-03472,UFMu-03726|UFMu-08578	FALSE	mRNA	no_change	NA	10+
Zm00001d012923	1	mu1021611	UFMu-01233	FALSE	mRNA	no_change	NA	10+
Zm00001d012930	1	mu1056921	UFMu-07314	FALSE	mRNA	no_change	NA	5-10
